"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Europe & Central Asia","ECS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","4087000000","3253000000","3157000000","3497000000","4664000000","4277000000","5314000000","5476000000","5101000000","5047000000","5117000000","7644000000","7576000000","6833000000","6686000000","7952000000","8233000000","8667000000","8924000000","8891000000","10058000000","12074000000","11512000000","11154000000","11442000000","9701000000","8246000000","8567000000","8458000000","9107000000","7222000000","6993000000","8240000000","9428000000","9476000000","9976000000","11296000000","13320000000","11189000000","12710000000","10778000000","11541000000","11261000000","11669000000","12558000000","13052000000","14797000000","16494000000","15048000000","14245000000","13975000000","17935000000","15865000000","16092000000","14818000000","15006000000","16425000000","15526000000","13652000000","12733000000","11116000000","11815000000","14347000000","12471000000","11027000000","",
"Ecuador","ECU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","","","","2000000","","","","","","","",
"Egypt, Arab Rep.","EGY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","0","0","7000000","8000000","1000000","","14000000","15000000","26000000","15000000","39000000","","","","","16000000","","67000000","78000000","13000000","29000000","77000000","81000000","71000000","37000000","5000000","19000000","76000000","81000000","81000000","25000000","","15000000","28000000","17000000","12000000","5000000","5000000","","","","","","","","","","","","","","","","","7000000","21000000","","","","8000000","","41000000","41000000","4000000","2000000","",
"Euro area","EMU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1283000000","1318000000","1487000000","1707000000","2394000000","1958000000","3084000000","2662000000","2719000000","2900000000","3694000000","4421000000","4499000000","3768000000","4015000000","4836000000","4586000000","5636000000","5950000000","6154000000","7310000000","8324000000","8029000000","7717000000","7856000000","6725000000","5165000000","3987000000","4689000000","4700000000","4386000000","4529000000","3517000000","3641000000","5005000000","3651000000","4888000000","5988000000","6285000000","4777000000","3306000000","2788000000","3181000000","3842000000","3892000000","5411000000","6862000000","8215000000","6246000000","6488000000","4661000000","6034000000","4186000000","4532000000","6041000000","6263000000","6562000000","6932000000","4832000000","5783000000","5936000000","7469000000","8067000000","7525000000","6894000000","",
"Eritrea","ERI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","0","","","","","","","0","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2000000","8000000","10000000","10000000","12000000","33000000","26000000","12000000","12000000","10000000","70000000","140000000","18000000","18000000","84000000","277000000","46000000","25000000","38000000","18000000","10000000","135000000","265000000","370000000","245000000","93000000","198000000","158000000","143000000","169000000","117000000","105000000","71000000","104000000","254000000","89000000","113000000","607000000","174000000","46000000","47000000","8000000","18000000","99000000","54000000","113000000","898000000","628000000","626000000","984000000","273000000","997000000","266000000","450000000","962000000","982000000","481000000","820000000","705000000","318000000","1010000000","676000000","1018000000","921000000","639000000","",
"Estonia","EST","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","","","","","","","","","","","","","","","","","","1000000","","","","","","","9000000","13000000","2000000","",
"Ethiopia","ETH","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","35000000","","51000000","","","","","","","","","","17000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1346000000","1369000000","1543000000","1831000000","2713000000","2236000000","3477000000","3172000000","3128000000","3287000000","4120000000","5252000000","4955000000","3994000000","4348000000","5253000000","5112000000","6111000000","6368000000","6706000000","7763000000","8905000000","8538000000","8193000000","8347000000","7170000000","5884000000","4591000000","5521000000","5154000000","4817000000","4796000000","3796000000","4190000000","5921000000","4254000000","5455000000","6184000000","6687000000","5481000000","3838000000","3865000000","3550000000","4577000000","4266000000","6212000000","7593000000","8802000000","6829000000","7009000000","5326000000","6746000000","4706000000","5394000000","6485000000","6700000000","7079000000","7155000000","5113000000","5950000000","6231000000","7750000000","9133000000","8678000000","7834000000","",
"Fragile and conflict affected situations","FCS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","","","","1000000","","","2000000","","16000000","","","","","","47000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","75000000","5000000","5000000","","","3000000","67000000","39000000","39000000","39000000","37000000","40000000","30000000","","63000000","63000000","","","63000000","63000000","","","15000000","","","","","","1000000","","","18000000","9000000","12000000","20000000","25000000","3000000","1000000","17000000","20000000","12000000","31000000","35000000","35000000","27000000","38000000","121000000","60000000","97000000","63000000","66000000","64000000","99000000","69000000","95000000","26000000","54000000","28000000","39000000","25000000","12000000","15000000","40000000","49000000","27000000","",
"Fiji","FJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","10000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
